time_index,velocity_z,quaternion_3,time_actual,attitude_pitch,wind_y,velocity_x,quaternion_0,global_position_longitude,mode_0,mode_2,magnetometer_1,mode_1,wind_x,altitude_gps,attitude_roll,position_x,magnetometer_2,velocity_y,global_position_latitude,attitude_yaw,time_flight,magnetometer_0,position_z,quaternion_1,gps_sat_count_0,position_y,quaternion_2,battery_0,acceleration_y,servos_3,current_2,current_3,current_0,current_1,rpm_0,servos_0,airspeed_0,servos_7,acceleration_z,acceleration_x,servos_4,servos_1,tx_controls_7,axis_rate_yaw,altitude_baro,tx_controls_0,tx_controls_6,airspeed_1,axis_rate_pitch,tx_controls_1,servos_5,tx_controls_5,rpm_1,tx_controls_3,servos_6,servos_2,battery_1,tx_controls_2,tx_controls_4,axis_rate_roll
0.0,0.0,0.0,9.079283,-0.04834562028024293,0.0,0.0,1.0,145.12655669999998,0.0,0.0,74.0,0.0,0.0,163.3,0.005759586531581287,0.0,-432.0,0.0,-37.6235474,0.0,9.098217,268.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.18012799999999984,0.0,0.0,9.238688,-0.04834562028024293,0.0,0.0,1.0,145.12655669999998,0.0,0.0,74.0,0.0,0.0,163.3,0.005759586531581287,0.0,-442.0,0.0,-37.6235474,0.0,9.278345,269.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5001300000000004,0.0,0.0,9.559132,-0.04834562028024293,0.0,0.0,1.0,145.12639059999998,0.0,0.0,75.0,0.0,0.0,140.21,0.005759586531581287,0.0,-436.0,0.0,-37.623453,0.0,9.598347,266.0,0.0,0.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6801669999999991,0.0,0.0,9.759136999999999,-0.04834562028024293,0.0,0.0,1.0,145.1264289,0.0,0.0,75.0,0.0,0.0,154.11,0.005759586531581287,0.0,-430.0,0.0,-37.6234834,0.0,9.778383999999999,267.0,0.0,0.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9220039999999994,0.0,0.0,9.99941,-0.04834562028024293,0.0,0.0,1.0,145.12644369999998,0.0,0.0,78.0,0.0,0.0,160.64000000000001,0.005759586531581287,0.0,-427.0,0.0,-37.6234916,0.0,10.020221,264.0,0.0,0.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1820489999999992,0.0,0.0,10.239616999999999,-0.04834562028024293,0.0,0.0,1.0,145.1264957,0.0,0.0,77.0,0.0,0.0,171.97,0.005759586531581287,0.0,-426.0,0.0,-37.6235297,0.0,10.280266,265.0,0.0,0.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5013919999999992,0.0,0.0,10.559839,-0.04834562028024293,0.0,0.0,1.0,145.1264933,0.0,0.0,76.0,0.0,0.0,169.98,0.005759586531581287,0.0,-433.0,0.0,-37.6235314,0.0,10.599609,265.0,0.0,0.0,14.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7015849999999997,0.0,0.0,10.759659,-0.04834562028024293,0.0,0.0,1.0,145.1264894,0.0,0.0,76.0,0.0,0.0,167.79,0.005759586531581287,0.0,-431.0,0.0,-37.6235303,0.0,10.799802,266.0,0.0,0.0,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9012060000000002,0.0,0.0,10.959335,-0.04834562028024293,0.0,0.0,1.0,145.12649,0.0,0.0,76.0,0.0,0.0,167.84,0.005759586531581287,0.0,-430.0,0.0,-37.6235302,0.0,10.999423,265.0,0.0,0.0,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.101172,0.0,0.0,11.159595,-0.04834562028024293,0.0,0.0,1.0,145.1264884,0.0,0.0,76.0,0.0,0.0,166.35,0.005759586531581287,0.0,-432.0,0.0,-37.6235326,0.0,11.199389,266.0,0.0,0.0,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.301406,0.0,0.0,11.359337,-0.04834562028024293,0.0,0.0,1.0,145.12648769999998,0.0,0.0,76.0,0.0,0.0,165.33,0.005759586531581287,0.0,-431.0,0.0,-37.6235365,0.0,11.399623,264.0,0.0,0.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5410299999999992,0.0,0.0,11.600408,-0.04834562028024293,0.0,0.0,1.0,145.12648579999998,0.0,0.0,77.0,0.0,0.0,164.11,0.005759586531581287,0.0,-427.0,0.0,-37.6235347,0.0,11.639247,264.0,0.0,0.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6820059999999994,0.0,0.0,11.760079,-0.04834562028024293,0.0,0.0,1.0,145.12648579999998,0.0,0.0,78.0,0.0,0.0,163.83,0.005759586531581287,0.0,-427.0,0.0,-37.623534299999996,0.0,11.780223,266.0,0.0,0.0,14.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.9014869999999995,0.0,0.0,11.959341,-0.04834562028024293,0.0,0.0,1.0,145.126484,0.0,0.0,76.0,0.0,0.0,162.99,0.005759586531581287,0.0,-433.0,0.0,-37.6235348,0.0,11.999704,265.0,0.0,0.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
