time_index,velocity_z,quaternion_3,time_actual,axis_rate_yaw,attitude_pitch,acceleration_z,wind_y,velocity_x,servos_4,quaternion_0,global_position_longitude,acceleration_x,mode_0,airspeed_0,servos_6,axis_rate_pitch,mode_2,magnetometer_1,mode_1,altitude_baro,wind_x,acceleration_y,servos_3,tx_controls_3,altitude_gps,attitude_roll,position_x,servos_0,servos_2,velocity_y,tx_controls_5,magnetometer_2,tx_controls_7,global_position_latitude,attitude_yaw,tx_controls_4,time_flight,magnetometer_0,servos_7,servos_1,tx_controls_6,tx_controls_1,position_z,axis_rate_roll,quaternion_1,tx_controls_2,servos_5,gps_sat_count_0,tx_controls_0,position_y,quaternion_2,battery_0,current_1,rpm_0,rpm_1,current_2,current_3,current_0,battery_1,airspeed_1
0.0,0.0,0.0,7.259392999999999,3.7516168413286495e-05,-0.05305800926062762,-9.69283390045166,0.0,0.0,0.0,1.0,-2.7913561,1.464723825454712,5.0,0.0,0.0,-4.1163450749934074e-05,1.0,-76.0,5.0,-0.1392391324043274,0.0,-0.39737722277641296,0.0,1603.0,7.8,0.008028514559173916,0.0,0.0,0.0,0.0,1500.0,376.0,1500.0,51.459522899999996,0.0,1417.0,7.298895,-246.0,0.0,0.0,1500.0,1569.0,0.0,-0.00044813055875398626,0.0,1490.0,0.0,0.0,1000.0,0.0,0.0,,,,,,,,,
0.09995300000000018,0.0,0.0,7.379066,-4.8727070439974454e-05,-0.05305800926062762,-9.715158462524414,0.0,0.0,0.0,1.0,-2.7913561,1.4218370914459229,5.0,0.0,0.0,-1.7402076993341197e-05,1.0,-76.0,5.0,-0.07219807058572769,0.0,0.12136588990688324,0.0,1603.0,7.8,0.008028514559173916,0.0,0.0,0.0,0.0,1500.0,375.0,1500.0,51.459522899999996,0.0,1417.0,7.398848,-244.0,0.0,0.0,1500.0,1569.0,0.0,0.0003338833861863857,0.0,1490.0,0.0,0.0,1000.0,0.0,0.0,,,,,,,,,
0.19990599999999947,0.0,0.0,7.459098999999999,7.18983599346496e-05,-0.05305800926062762,-9.69952392578125,0.0,0.0,0.0,1.0,-2.7913561,1.4017690420150757,5.0,0.0,0.0,-1.0918291997035878e-05,1.0,-76.0,5.0,0.02578502520918846,0.0,-0.38237661123275757,0.0,1602.0,7.8,0.008028514559173916,0.0,0.0,0.0,0.0,1500.0,376.0,1500.0,51.459522899999996,0.0,1418.0,7.498800999999999,-244.0,0.0,0.0,1500.0,1568.0,0.0,-0.0005032824403051956,0.0,1491.0,0.0,0.0,1000.0,0.0,0.0,,,,,,,,,
0.30000999999999944,0.0,0.0,7.579578,-4.320083237696146e-05,-0.05305800926062762,-9.724088668823242,0.0,0.0,0.0,1.0,-2.7913561,1.3809843063354492,5.0,0.0,0.0,-3.071463557833368e-06,1.0,-76.0,5.0,-0.1959661841392517,0.0,0.009147215634584427,0.0,1603.0,7.8,0.008028514559173916,0.0,0.0,0.0,0.0,1501.0,378.0,1500.0,51.459522899999996,0.0,1417.0,7.598904999999999,-244.0,0.0,0.0,1500.0,1568.0,0.0,0.00037086592272096887,0.0,1490.0,0.0,0.0,1000.0,0.0,0.0,,,,,,,,,
0.400004,0.0,0.0,7.659723,6.0280921101055955e-05,-0.05305800926062762,-9.704719543457031,0.0,0.0,0.0,1.0,-2.7913561,1.4000128507614136,5.0,0.0,0.0,-4.8709264491936046e-06,1.0,-75.0,5.0,-0.056727055460214615,0.0,-0.32128483057022095,0.0,1603.0,7.8,0.008028514559173916,0.0,0.0,0.0,0.0,1500.0,378.0,1500.0,51.459522899999996,0.0,1417.0,7.698899,-245.0,0.0,0.0,1500.0,1569.0,0.0,-0.0005030756812166591,0.0,1490.0,0.0,0.0,1000.0,0.0,0.0,,,,,,,,,
0.5000260000000001,0.0,0.0,7.779128999999999,-3.145559139449851e-05,-0.05305800926062762,-9.716351509094238,0.0,0.0,0.0,1.0,-2.7913561,1.3939540386199951,5.0,0.0,0.0,-6.493196181969771e-07,1.0,-76.0,5.0,-0.2011231929063797,0.0,-0.04510107636451721,0.0,1603.0,7.8,0.008028514559173916,0.0,0.0,0.0,0.0,1500.0,379.0,1500.0,51.459522899999996,0.0,1417.0,7.798921,-244.0,0.0,0.0,1500.0,1568.0,0.0,0.0003373108081903648,0.0,1491.0,0.0,0.0,1000.0,0.0,0.0,,,,,,,,,
0.5999840000000001,0.0,0.0,7.8590539999999995,4.348307803838807e-05,-0.05305800926062762,-9.692645072937012,0.0,0.0,0.0,1.0,-2.7913561,1.4057198762893677,5.0,0.0,0.0,-1.3057585170675546e-05,1.0,-76.0,5.0,-0.3403623402118683,0.0,-0.2922949492931366,0.0,1602.0,7.8,0.008028514559173916,0.0,0.0,0.0,0.0,1500.0,380.0,1500.0,51.459522899999996,0.0,1418.0,7.898879,-244.0,0.0,0.0,1500.0,1568.0,0.0,-0.0005063135090375651,0.0,1491.0,0.0,0.0,1000.0,0.0,0.0,,,,,,,,,
0.6999939999999993,0.0,0.0,7.979063,-3.858380602753566e-05,-0.05305800926062762,-9.749371528625488,0.0,0.0,0.0,1.0,-2.7913561,1.4271111488342285,5.0,0.0,0.0,-2.3493810103556245e-05,1.0,-75.0,5.0,-0.21143721044063568,0.0,-0.03939483314752579,0.0,1602.0,7.8,0.008028514559173916,0.0,0.0,0.0,0.0,1500.0,376.0,1500.0,51.459522899999996,0.0,1418.0,7.998888999999999,-242.0,0.0,0.0,1500.0,1568.0,0.0,0.00039250384650353745,0.0,1491.0,0.0,0.0,1000.0,0.0,0.0,,,,,,,,,
0.7998259999999995,0.0,0.0,8.05951,5.2662791457917547e-05,-0.05305800926062762,-9.668325424194336,0.0,0.0,0.0,1.0,-2.7913561,1.4580148458480835,5.0,0.0,0.0,-3.282771508864048e-05,1.0,-76.0,5.0,-0.15986715257167816,0.0,-0.1703888475894928,0.0,1603.0,7.8,0.008028514559173916,0.0,0.0,0.0,0.0,1500.0,377.0,1500.0,51.459522899999996,0.0,1417.0,8.098721,-243.0,0.0,0.0,1500.0,1568.0,0.0,-0.0005957807998998191,0.0,1491.0,0.0,0.0,1000.0,0.0,0.0,,,,,,,,,
0.9000179999999993,0.0,0.0,8.179131,-5.384200908500149e-05,-0.05305800926062762,-9.636452674865723,0.0,0.0,0.0,1.0,-2.7913561,1.4042296409606934,5.0,0.0,0.0,2.392740937105537e-06,1.0,-76.0,5.0,-0.1908091902732849,0.0,-0.2680228054523468,0.0,1603.0,7.8,0.008028514559173916,0.0,0.0,0.0,0.0,1500.0,375.0,1500.0,51.459522899999996,0.0,1417.0,8.198913,-243.0,0.0,0.0,1500.0,1568.0,0.0,0.0004975165274968626,0.0,1491.0,0.0,0.0,1000.0,0.0,0.0,,,,,,,,,
