time_index,velocity_z,altitude_gps,magnetometer_0,rpm_1,position_y,mode_0,global_position_latitude,servos_7,acceleration_z,time_actual,axis_rate_roll,mode_1,servos_3,tx_controls_0,tx_controls_5,altitude_baro,wind_y,position_x,tx_controls_7,servos_6,acceleration_y,time_flight,servos_2,axis_rate_yaw,magnetometer_1,servos_4,servos_0,servos_5,attitude_roll,magnetometer_2,wind_x,rpm_0,attitude_pitch,attitude_yaw,axis_rate_pitch,velocity_x,tx_controls_1,position_z,global_position_longitude,airspeed_0,tx_controls_2,tx_controls_3,gps_sat_count_0,tx_controls_4,servos_1,acceleration_x,velocity_y,tx_controls_6,mode_2,current_0,battery_1,current_1,current_2,current_3,airspeed_1,battery_0
0.0,-0.029330583289265633,5.92,170.0,-14.0,0.0,5.0,51.459438999999996,0.0,-9.679352760314941,18.759448,0.0,5.0,0.0,1000.0,1501.0,0.24468141794204712,0.0,0.0,1500.0,0.0,0.5671917200088501,18.778759,0.0,-0.00017453292519943296,-2.0,0.0,0.0,0.0,-0.007155849933176752,454.0,0.0,749.8875503540039,0.07016223593017205,2.332807078215621,0.0,-0.12471485137939453,1572.0,-0.25479087233543396,-2.7913205,0.0,1495.0,1605.0,18.0,1417.0,0.0,1.5821248292922974,-0.06389608234167099,1500.0,1.0,,,,,,,
0.09998099999999965,-0.033110715448856354,5.92,170.0,-14.0,0.0,5.0,51.459438999999996,0.0,-9.6886625289917,18.83906,0.0,5.0,0.0,1000.0,1500.0,0.4023649990558624,0.0,0.0,1500.0,0.0,0.4435797333717346,18.87874,0.0,-0.00034906585039886593,-2.0,0.0,0.0,0.0,-0.007853981633974483,454.0,0.0,642.8663558959961,0.07016223593017205,2.334726940392815,0.0,-0.11538422852754593,1572.0,-0.26050031185150146,-2.7913205,0.0,1494.0,1605.0,18.0,1418.0,0.0,1.5782501697540283,-0.054428812116384506,1500.0,1.0,,,,,,,
0.19998699999999658,-0.04054794833064079,5.89,170.0,-14.0,0.0,5.0,51.4594393,0.0,-9.685592651367188,18.959265,0.0,5.0,0.0,1000.0,1500.0,0.2555561363697052,0.0,0.0,1500.0,0.0,0.5646440982818604,18.978745999999997,0.0,-0.0005235987755982988,-2.0,0.0,0.0,0.0,-0.009075712110370514,454.0,0.0,642.8663558959961,0.07016223593017205,2.338043065971604,0.0,-0.09306533634662628,1572.0,-0.27197954058647156,-2.7913202999999998,0.0,1495.0,1604.0,18.0,1418.0,0.0,1.5754477977752686,-0.03171216696500778,1500.0,1.0,,,,,,,
0.299947999999997,-0.04542094096541405,5.89,170.0,-14.0,0.0,5.0,51.4594393,0.0,-9.687588691711426,19.039738,0.00017453292519943296,5.0,0.0,1000.0,1500.0,0.22293195128440857,0.0,0.0,1500.0,0.0,0.44757378101348877,19.078706999999998,0.0,-0.0008726646259971648,-2.0,0.0,0.0,0.0,-0.009948376736367679,454.0,0.0,642.7148971557617,0.06998770300497262,2.3399629281487977,0.0,-0.08610105514526367,1572.0,-0.2807554602622986,-2.7913202999999998,0.0,1494.0,1605.0,18.0,1418.0,0.0,1.58662748336792,-0.02375786378979683,1500.0,1.0,,,,,,,
0.3999459999999999,-0.05141093581914902,5.86,170.0,-14.0,0.0,5.0,51.459439499999995,0.0,-9.688690185546875,19.159238,0.00017453292519943296,5.0,0.0,1000.0,1500.0,0.13593411445617676,0.0,0.0,1501.0,0.0,0.5520285367965698,19.178705,0.0,-0.0012217304763960308,-2.0,0.0,0.0,0.0,-0.010821041362364843,454.0,0.0,642.7148971557617,0.06998770300497262,2.3431045208023873,0.0,-0.06730608642101288,1572.0,-0.29197654128074646,-2.7913202,0.0,1495.0,1605.0,18.0,1417.0,0.0,1.5883803367614746,-0.004020043183118105,1500.0,1.0,,,,,,,
0.49999899999999897,-0.05444936081767082,5.86,170.0,-14.0,0.0,5.0,51.459439499999995,0.0,-9.690329551696777,19.239193,0.00034906585039886593,5.0,0.0,1000.0,1501.0,0.23108799755573273,0.0,0.0,1500.0,0.0,0.48065146803855896,19.278758,0.0,-0.0015707963267948964,-2.0,0.0,0.0,0.0,-0.011519173063162575,454.0,0.0,600.1921081542969,0.06998770300497262,2.345198915904781,0.0,-0.061952363699674606,1572.0,-0.29702672362327576,-2.7913202,0.0,1495.0,1605.0,18.0,1417.0,0.0,1.578963279724121,0.00242024939507246,1500.0,1.0,,,,,,,
0.5999459999999992,-0.058140091598033905,5.82,170.0,-14.0,0.0,5.0,51.4594397,0.0,-9.683575630187988,19.359256,0.00034906585039886593,5.0,0.0,1000.0,1500.0,0.241962730884552,0.0,0.0,1500.0,0.0,0.5306552648544312,19.378705,0.0,-0.0020943951023931952,-2.0,0.0,0.0,0.0,-0.012217304763960308,454.0,0.0,642.7148971557617,0.06998770300497262,2.3483405085583704,0.0,-0.04653703421354294,1572.0,-0.30233705043792725,-2.79132,0.0,1494.0,1605.0,18.0,1418.0,0.0,1.5845595598220825,0.018051203340291977,1500.0,1.0,,,,,,,
0.700021999999997,-0.06093762442469597,5.82,170.0,-14.0,0.0,5.0,51.4594397,0.0,-9.661982536315918,19.439161,0.0005235987755982988,5.0,0.0,1000.0,1500.0,0.26643088459968567,0.0,0.0,1500.0,0.0,0.4645501971244812,19.478780999999998,0.0,-0.0024434609527920616,-2.0,0.0,0.0,0.0,-0.012915436464758038,454.0,0.0,642.4670944213867,0.06998770300497262,2.350434903660764,0.0,-0.040659237653017044,1572.0,-0.30584901571273804,-2.79132,0.0,1495.0,1604.0,18.0,1418.0,0.0,1.5775799751281738,0.02367095835506916,1500.0,1.0,,,,,,,
0.7999089999999995,-0.0640309527516365,5.84,170.0,-14.0,0.0,5.0,51.459440099999995,0.0,-9.602724075317383,19.559762,0.0006981317007977319,5.0,0.0,1000.0,1500.0,0.141371488571167,0.0,0.0,1500.0,0.0,0.5092905759811401,19.578668,0.0,-0.0029670597283903604,-2.0,0.0,0.0,0.0,-0.013613568165555772,454.0,0.0,642.7148971557617,0.07016223593017205,2.353751029239553,0.0,-0.0283419881016016,1571.0,-0.31172430515289307,-2.7913197999999997,0.0,1495.0,1605.0,18.0,1418.0,0.0,1.6103156805038452,0.03665424883365631,1500.0,1.0,,,,,,,
0.9000029999999981,-0.06398556381464005,5.84,170.0,-14.0,0.0,5.0,51.459440099999995,0.0,-9.684720993041992,19.639748,0.0008726646259971648,5.0,0.0,1000.0,1500.0,0.3697408139705658,0.0,0.0,1501.0,0.0,0.7021618485450745,19.678762,0.0,-0.003490658503988659,-2.0,0.0,0.0,0.0,-0.014137166941154071,454.0,0.0,642.7148971557617,0.07016223593017205,2.3560199572671454,0.0,-0.023144559934735298,1572.0,-0.3144458830356598,-2.7913197999999997,0.0,1495.0,1605.0,18.0,1417.0,0.0,1.6455811262130737,0.04180103540420532,1500.0,1.0,,,,,,,
