time_index,global_position_longitude,wind_y,velocity_y,servos_4,position_x,servos_5,servos_3,tx_controls_4,axis_rate_yaw,tx_controls_7,servos_2,airspeed_0,time_actual,position_y,tx_controls_5,attitude_roll,rpm_1,tx_controls_1,servos_1,mode_0,tx_controls_3,tx_controls_2,mode_1,altitude_gps,tx_controls_6,wind_x,velocity_x,servos_6,velocity_z,gps_sat_count_0,magnetometer_2,magnetometer_0,servos_7,attitude_yaw,tx_controls_0,position_z,global_position_latitude,axis_rate_pitch,servos_0,acceleration_z,altitude_baro,acceleration_y,magnetometer_1,time_flight,acceleration_x,mode_2,rpm_0,axis_rate_roll,attitude_pitch,battery_0,current_3,current_2,battery_1,current_1,airspeed_1,current_0
0.0,-2.7912817999999997,0.0,-0.044934261590242386,0.0,0.0,0.0,0.0,1417.0,0.0,1500.0,0.0,0.0,21.582227,0.0,1500.0,0.004537856055185257,-14.0,1572.0,0.0,5.0,1605.0,1495.0,5.0,12.34,1500.0,0.0,-0.05435916781425476,0.0,0.08884444832801819,14.0,457.0,150.0,0.0,2.4403193601384716,1000.0,-0.023507798090577126,51.4594448,0.0,0.0,-9.669757843017578,0.22605755925178528,0.44021207094192505,-2.0,21.601008,1.5064566135406494,1.0,599.9879913330078,0.0,0.06387905062299247,,,,,,,
0.10001799999999861,-2.7912817999999997,0.0,-0.04705395922064781,0.0,0.0,0.0,0.0,1417.0,0.0,1500.0,0.0,0.0,21.661956,0.0,1500.0,0.004363323129985824,-14.0,1572.0,0.0,5.0,1605.0,1495.0,5.0,12.34,1500.0,0.0,-0.05728795379400253,0.0,0.08639427274465561,14.0,457.0,150.0,0.0,2.440493893063671,1000.0,-0.027684370055794716,51.4594448,0.0,0.0,-9.680845260620117,0.011302878148853779,0.4539766013622284,-2.0,21.701026,1.5520130395889282,1.0,600.1080474853516,0.0,0.06370451769779303,,,,,,,
0.19998999999999967,-2.7912819,0.0,-0.04062163457274437,0.0,0.0,0.0,0.0,1418.0,0.0,1500.0,0.0,0.0,21.78163,0.0,1500.0,0.004537856055185257,-14.0,1572.0,0.0,5.0,1605.0,1494.0,5.0,12.35,1500.0,0.0,-0.05423321574926376,0.0,0.0839262381196022,14.0,457.0,150.0,0.0,2.44084295891407,1000.0,-0.03154879808425903,51.4594446,0.0,0.0,-9.655505180358887,0.20345181226730347,0.5326277017593384,-2.0,21.800998,1.528440237045288,1.0,599.9879913330078,0.0,0.06370451769779303,,,,,,,
0.29991799999999813,-2.7912819,0.0,-0.03612896054983139,0.0,0.0,0.0,0.0,1417.0,0.0,1500.0,0.0,0.0,21.861442,0.0,1500.0,0.004363323129985824,-14.0,1572.0,0.0,5.0,1605.0,1495.0,5.0,12.35,1501.0,0.0,-0.05044471099972725,0.0,0.08178315311670303,14.0,457.0,150.0,0.0,2.4411920247644687,1000.0,-0.03311993554234505,51.4594446,0.0,0.0,-9.636627197265625,0.11868022382259369,0.48630446195602417,-2.0,21.900926,1.5189483165740967,1.0,600.1080474853516,0.0,0.0635299847725936,,,,,,,
0.3999629999999996,-2.7912822,0.0,-0.039346009492874146,0.0,0.0,0.0,0.0,1418.0,0.0,1500.0,0.0,0.0,21.981593999999998,0.0,1500.0,0.003839724354387525,-14.0,1572.0,0.0,5.0,1605.0,1494.0,5.0,12.32,1500.0,0.0,-0.057321567088365555,0.0,0.08014226704835892,14.0,457.0,150.0,0.0,2.441541090614868,1000.0,-0.035833992063999176,51.4594445,0.0,0.0,-9.608180046081543,0.15541458129882812,0.31756827235221863,-2.0,22.000971,1.4697715044021606,1.0,599.9879913330078,0.0,0.0635299847725936,,,,,,,
0.49997199999999964,-2.7912822,0.0,-0.03183257579803467,0.0,0.0,0.0,0.0,1418.0,-0.00017453292519943296,1500.0,0.0,0.0,22.061939,0.0,1500.0,0.003490658503988659,-14.0,1572.0,0.0,5.0,1605.0,1494.0,5.0,12.32,1500.0,0.0,-0.05077067017555237,0.0,0.07958412915468216,14.0,457.0,150.0,0.0,2.441715623540067,1000.0,-0.037261176854372025,51.4594445,0.0,0.0,-9.636895179748535,0.04238579422235489,0.5566774606704712,-2.0,22.10098,1.5139765739440918,1.0,600.1080474853516,0.0,0.0635299847725936,,,,,,,
0.5999829999999982,-2.7912827,0.0,-0.030641919001936913,0.0,0.0,0.0,0.0,1417.0,-0.00017453292519943296,1500.0,0.0,0.0,22.181606,0.0,1500.0,0.004014257279586958,-14.0,1572.0,0.0,5.0,1605.0,1495.0,5.0,12.36,1500.0,0.0,-0.05133829638361931,0.0,0.0787648856639862,14.0,457.0,150.0,0.0,2.4420646893904663,1000.0,-0.037538688629865646,51.459444299999994,0.0,0.0,-9.669698715209961,0.11585450172424316,0.25542810559272766,-2.0,22.200991,1.501571536064148,1.0,600.1080474853516,0.0,0.06335545184739416,,,,,,,
0.7000019999999978,-2.7912827,0.0,-0.031690385192632675,0.0,0.0,0.0,0.0,1417.0,-0.00017453292519943296,1500.0,0.0,0.0,22.261456,0.0,1500.0,0.002617993877991494,-14.0,1572.0,0.0,5.0,1605.0,1495.0,5.0,12.36,1500.0,0.0,-0.053574901074171066,0.0,0.07887689769268036,14.0,457.0,150.0,0.0,2.4425882881660645,1000.0,-0.036501117050647736,51.459444299999994,0.0,0.0,-9.666084289550781,0.20910324156284332,0.4261179566383362,-2.0,22.301009999999998,1.5484570264816284,1.0,602.7243423461914,0.0,0.06335545184739416,,,,,,,
0.7999469999999995,-2.7912833,0.0,-0.027735164389014244,0.0,0.0,0.0,0.0,1418.0,-0.00034906585039886593,1500.0,0.0,0.0,22.381477999999998,0.0,1500.0,0.003665191429188092,-14.0,1572.0,0.0,5.0,1605.0,1494.0,5.0,12.43,1500.0,0.0,-0.051495667546987534,0.0,0.07672020047903061,14.0,457.0,150.0,0.0,2.442937354016463,1000.0,-0.036617957055568695,51.4594441,0.0,0.0,-9.621392250061035,0.05368867143988609,0.38957250118255615,-2.0,22.400955,1.527537226676941,1.0,600.2521362304688,0.00017453292519943296,0.06318091892219473,,,,,,,
0.8999639999999971,-2.7912833,0.0,-0.0260026678442955,0.0,0.0,0.0,0.0,1417.0,-0.00034906585039886593,1501.0,0.0,0.0,22.461426,0.0,1500.0,0.003665191429188092,-14.0,1572.0,0.0,5.0,1605.0,1495.0,5.0,12.43,1500.0,0.0,-0.05265692621469498,0.0,0.0769939124584198,14.0,457.0,150.0,0.0,2.4431118869416624,1000.0,-0.03651781752705574,51.4594441,0.0,0.0,-9.637317657470703,0.18084605038166046,0.3031805753707886,-2.0,22.500971999999997,1.4743362665176392,1.0,602.7243423461914,0.00017453292519943296,0.06318091892219473,,,,,,,
