time_index,servos_1,servos_2,tx_controls_1,gps_sat_count_0,position_x,axis_rate_yaw,altitude_gps,velocity_z,acceleration_y,velocity_y,tx_controls_2,axis_rate_roll,time_flight,mode_1,acceleration_z,wind_x,attitude_yaw,tx_controls_5,airspeed_0,global_position_latitude,servos_3,time_actual,tx_controls_4,velocity_x,position_z,rpm_0,magnetometer_2,wind_y,tx_controls_0,mode_0,servos_4,servos_5,tx_controls_6,servos_6,attitude_pitch,servos_0,mode_2,global_position_longitude,axis_rate_pitch,altitude_baro,rpm_1,acceleration_x,tx_controls_7,servos_7,magnetometer_1,attitude_roll,magnetometer_0,tx_controls_3,position_y,current_3,airspeed_1,current_0,current_1,current_2,battery_0,battery_1
0.0,0.0,0.0,1568.0,17.0,0.0,0.0,-0.87,0.06129436194896698,0.09320031106472015,0.053173720836639404,1491.0,0.0,19.594887999999997,5.0,-9.754029273986816,0.0,2.7354545366507126,1500.0,0.0,51.4595449,0.0,19.575903,1417.0,0.002537086606025696,0.4352857768535614,20995.801025390625,402.0,0.0,1000.0,5.0,0.0,0.0,1500.0,0.0,0.06161012259539984,0.0,1.0,-2.7909466999999997,0.0,-0.36643171310424805,-14.0,1.1286373138427734,1500.0,0.0,-3.0,-0.004537856055185257,214.0,1603.0,0.0,,,,,,,
0.09981800000000263,0.0,0.0,1568.0,16.0,0.0,0.0,-0.86,0.057846374809741974,0.0808553472161293,0.05380869656801224,1491.0,0.0,19.694706,5.0,-9.746647834777832,0.0,2.7356290695759125,1500.0,0.0,51.4595449,0.0,19.655321999999998,1418.0,0.003032637294381857,0.433388352394104,20995.801025390625,402.0,0.0,1000.0,5.0,0.0,0.0,1500.0,0.0,0.06161012259539984,0.0,1.0,-2.7909466999999997,0.0,-0.3457876741886139,-14.0,1.149673342704773,1500.0,0.0,-3.0,-0.004537856055185257,214.0,1602.0,0.0,,,,,,,
0.2000150000000005,0.0,0.0,1568.0,16.0,0.0,0.0,-0.86,0.05457407608628273,0.07030193507671356,0.0565219521522522,1491.0,0.0,19.794902999999998,5.0,-9.758695602416992,0.0,2.7356290695759125,1500.0,0.0,51.4595449,0.0,19.775313999999998,1418.0,0.0028403503820300102,0.43098899722099304,20995.801025390625,402.0,0.0,1000.0,5.0,0.0,0.0,1500.0,0.0,0.0614355896702004,0.0,1.0,-2.7909466999999997,0.0,-0.27353355288505554,-14.0,1.1569350957870483,1500.0,0.0,-3.0,-0.00471238898038469,214.0,1602.0,0.0,,,,,,,
0.2997930000000011,0.0,0.0,1568.0,16.0,0.0,0.0,-0.8300000000000001,0.0505770780146122,0.14499802887439728,0.057163458317518234,1491.0,0.0,19.894681,5.0,-9.736401557922363,0.0,2.7358036025011114,1500.0,0.0,51.4595451,0.0,19.85511,1417.0,0.0032584608998149633,0.4283490478992462,20993.702392578125,402.0,0.0,1000.0,5.0,0.0,0.0,1500.0,0.0,0.0614355896702004,0.0,1.0,-2.7909466999999997,0.0,-0.21676242351531982,-14.0,1.14107346534729,1500.0,0.0,-3.0,-0.0054105206811824215,214.0,1603.0,0.0,,,,,,,
0.3997370000000018,0.0,0.0,1568.0,16.0,0.0,0.0,-0.8300000000000001,0.046945713460445404,-0.03525436297059059,0.06141923740506172,1491.0,0.0,19.994625,5.0,-9.730742454528809,0.0,2.7358036025011114,1500.0,0.0,51.4595451,0.0,19.975282999999997,1418.0,0.0023936794605106115,0.42116016149520874,20995.801025390625,402.0,0.0,1000.0,5.0,0.0,0.0,1500.0,0.0,0.0614355896702004,0.0,1.0,-2.7909466999999997,0.0,-0.3612707257270813,-14.0,1.1707935333251953,1500.0,0.0,-3.0,-0.004537856055185257,214.0,1602.0,0.0,,,,,,,
0.49979800000000196,0.0,0.0,1568.0,16.0,0.0,0.0,-0.79,0.04168560355901718,0.13031907379627228,0.06181688234210014,1491.0,0.0,20.094686,5.0,-9.75955581665039,0.0,2.7361526683515107,1500.0,0.0,51.4595452,0.0,20.055013,1418.0,0.0028583789244294167,0.4160741865634918,20993.702392578125,402.0,0.0,1000.0,5.0,0.0,0.0,1500.0,0.0,0.06126105674500097,0.0,1.0,-2.7909466999999997,0.0,-0.44900789856910706,-14.0,1.1652092933654785,1500.0,0.0,-3.0,-0.005759586531581287,214.0,1602.0,0.0,,,,,,,
0.5997560000000028,0.0,0.0,1568.0,16.0,0.0,0.0,-0.79,0.03782704472541809,0.02091534249484539,0.06512206047773361,1491.0,0.0,20.194644,5.0,-9.795586585998535,0.0,2.7361526683515107,1500.0,0.0,51.4595452,0.0,20.174896999999998,1418.0,0.0020413014572113752,0.412062406539917,20993.702392578125,402.0,0.0,1000.0,5.0,0.0,0.0,1500.0,0.0,0.061086523819801536,0.0,1.0,-2.7909466999999997,0.0,-0.335465669631958,-14.0,1.0778768062591553,1500.0,0.0,-3.0,-0.0054105206811824215,214.0,1602.0,0.0,,,,,,,
0.7000670000000007,0.0,0.0,1568.0,17.0,0.0,0.0,-0.74,0.03669466823339462,0.03979138284921646,0.062345705926418304,1490.0,0.0,20.294954999999998,5.0,-9.768796920776367,0.0,2.7363272012767097,1500.0,0.0,51.459545399999996,0.0,20.255012,1417.0,-0.0007295225514099002,0.41059133410453796,20991.0791015625,402.0,0.0,1001.0,5.0,0.0,0.0,1501.0,0.0,0.061086523819801536,0.0,1.0,-2.7909468,0.0,-0.43352484703063965,-14.0,1.1460827589035034,1500.0,0.0,-3.0,-0.006108652381980154,214.0,1603.0,0.0,,,,,,,
0.799787000000002,0.0,0.0,1569.0,17.0,0.0,0.0,-0.74,0.034765928983688354,0.14099755883216858,0.0707818940281868,1490.0,0.0,20.394675,5.0,-9.665382385253906,0.0,2.736501734201909,1500.0,0.0,51.459545399999996,0.0,20.374882,1417.0,0.00020622025476768613,0.4096692204475403,20991.0791015625,402.0,0.0,1000.0,5.0,0.0,0.0,1500.0,0.0,0.061086523819801536,0.0,1.0,-2.7909468,0.0,-0.27353355288505554,-14.0,1.2296282052993774,1500.0,0.0,-3.0,-0.0066322511575784525,214.0,1603.0,0.0,,,,,,,
0.899790000000003,0.0,0.0,1568.0,17.0,0.0,0.0,-0.7000000000000001,0.03148850053548813,0.07432744652032852,0.06839534640312195,1491.0,0.0,20.494678,5.0,-9.684545516967773,0.0,2.736501734201909,1500.0,0.0,51.4595456,0.0,20.455284,1418.0,-0.0005360988434404135,0.40877535939216614,20989.505126953125,402.0,0.0,1000.0,5.0,0.0,0.0,1500.0,0.0,0.06073745796940267,0.0,1.0,-2.7909469,0.0,-0.26321151852607727,-14.0,1.2160212993621826,1500.0,0.0,-3.0,-0.006981317007977318,214.0,1602.0,0.0,,,,,,,
